"year","state_fips","acs_employment_status_asian_male_16_64_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_male_16_64_not_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_male_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_female_16_64_not_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_female_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_moe","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_male_16_64_not_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_male_65_plus_not_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_female_16_64_not_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_female_65_plus_not_in_labor_force_moe"
2021,"25",133958,73,133885,128390,5495,34244,4544,4332,212,16073,128108,39,128069,121724,6345,56614,3592,3483,109,21609,1438,57,1432,1496,635,1169,399,388,92,413,1759,49,1759,1810,676,1742,478,477,70,538
2021,"26",94640,80,94560,91560,3000,21071,3691,3373,318,9904,73683,16,73667,69516,4151,43214,2523,2430,93,14240,1290,58,1287,1227,367,1031,373,308,273,475,1366,24,1368,1353,533,1380,357,364,60,513
2021,"27",77318,126,77192,73900,3292,17289,1606,1564,42,6246,74675,5,74670,71598,3072,25779,1594,1593,1,8619,1154,82,1157,1121,397,964,249,244,51,258,1059,8,1061,1150,467,985,294,294,4,296
2021,"28",7532,561,6971,6717,254,1947,689,685,4,926,6813,106,6707,6282,425,3883,259,259,0,1855,495,167,496,504,127,324,178,178,6,197,510,51,512,503,178,435,117,117,33,261
2021,"29",34834,592,34242,33337,905,7940,1436,1392,44,3492,31280,184,31096,30098,998,15568,821,821,0,6265,845,215,815,806,221,609,234,227,56,260,899,144,887,899,296,796,173,173,28,279
2021,"30",2321,45,2276,2173,103,475,82,82,0,352,2702,20,2682,2519,163,1408,150,150,0,429,357,41,358,357,63,195,55,55,26,119,321,22,318,309,154,304,78,78,26,115
2021,"31",14230,232,13998,13374,624,2423,312,312,0,1050,12674,16,12658,12071,587,5130,261,261,0,1726,433,101,439,445,186,354,95,95,23,132,558,18,560,563,168,489,99,99,23,169
2021,"32",63391,480,62911,59320,3591,14715,4163,3905,258,14578,69333,242,69091,65644,3447,25770,4303,4053,250,22900,1363,198,1328,1349,533,994,430,430,98,503,1266,159,1233,1213,461,982,442,440,128,524
2021,"33",10615,27,10588,10301,287,2404,387,371,16,853,9847,67,9780,9402,378,4019,276,276,0,1693,478,34,476,477,105,371,123,125,25,164,503,94,510,505,112,333,141,141,28,210
2021,"34",255499,189,255310,244579,10731,46650,14679,13703,976,35186,213517,12,213505,202246,11259,100450,8970,8316,654,49390,1832,80,1841,1960,763,1367,779,762,271,811,2203,19,2203,2111,855,1996,710,715,218,790
2021,"35",8607,144,8463,8037,426,1994,394,375,19,1280,9333,111,9222,8837,385,4226,351,332,19,2059,489,64,485,449,167,339,141,142,22,163,709,92,693,649,141,503,103,103,31,219
2021,"36",452223,610,451613,425502,26111,118626,23682,22212,1470,81986,428611,92,428519,404820,23699,206281,15830,14920,910,107076,2845,158,2838,3413,1560,2592,1215,1118,437,1400,3526,56,3518,3425,1342,2909,1127,1112,232,1476
2021,"37",89227,2439,86788,83906,2882,18580,2906,2818,88,8170,74937,433,74504,70888,3616,39855,2049,2006,43,12911,1214,325,1140,1155,507,1167,393,400,87,462,1544,161,1517,1605,482,1405,311,306,44,458
2021,"38",4161,153,4008,3963,45,614,87,87,0,90,3508,30,3478,3445,33,1175,98,98,0,272,278,89,293,300,53,160,51,51,23,80,365,33,367,368,37,278,58,58,23,80
2021,"39",79407,151,79256,76592,2664,15943,2559,2493,66,8345,64281,92,64189,61350,2839,37162,2144,2113,31,12354,1215,69,1217,1275,445,843,330,322,47,422,1564,75,1566,1520,398,1375,317,310,42,435
2021,"40",23226,473,22753,22097,656,6463,930,881,49,2106,22246,109,22137,21457,680,11172,1047,1031,16,3938,675,136,671,666,171,629,191,185,55,242,675,89,667,686,155,623,218,217,19,308
2021,"41",50176,14,50162,48085,2077,13202,1695,1644,51,7228,49658,44,49614,46826,2788,22489,1988,1971,17,10592,1156,15,1154,1146,456,900,282,283,44,354,1267,49,1265,1206,481,1095,385,384,19,387
2021,"42",124443,69,124374,118568,5806,32361,6090,5586,504,15666,111651,18,111633,106647,4986,56829,3775,3649,126,22169,1678,49,1679,1712,613,1382,560,507,175,595,1678,20,1681,1669,530,1508,498,495,76,577
2021,"44",10573,208,10365,9876,489,2779,391,323,68,1122,9339,32,9307,8815,492,4981,385,265,120,1270,487,117,455,447,169,363,125,123,80,172,521,34,522,510,203,448,118,123,124,216
2021,"45",22637,1001,21636,20848,788,4792,1384,1345,39,2897,20667,176,20491,19962,529,10392,556,556,0,4607,757,289,768,789,210,501,226,216,43,269,902,114,904,900,175,666,157,157,32,325
2021,"46",3961,147,3814,3657,157,454,87,87,0,157,3496,0,3496,3314,182,1326,43,43,0,424,394,81,381,406,92,184,66,66,23,86,299,23,299,300,123,266,36,36,23,134
