"year","state_fips","acs_occupation_universe_estimate","acs_occupation_male_total_estimate","acs_occupation_male_for_profit_worker_estimate","acs_occupation_male_for_profit_worker_employee_estimate","acs_occupation_male_for_profit_worker_self_employed_estimate","acs_occupation_male_nonprofit_worker_estimate","acs_occupation_male_local_govt_worker_estimate","acs_occupation_male_state_govt_worker_estimate","acs_occupation_male_fed_govt_worker_estimate","acs_occupation_male_self_employed_not_incorporated_estimate","acs_occupation_male_unpaid_family_worker_estimate","acs_occupation_female_total_estimate","acs_occupation_female_for_profit_worker_estimate","acs_occupation_female_for_profit_worker_employee_estimate","acs_occupation_female_for_profit_worker_self_employed_estimate","acs_occupation_female_nonprofit_worker_estimate","acs_occupation_female_local_govt_worker_estimate","acs_occupation_female_state_govt_worker_estimate","acs_occupation_female_fed_govt_worker_estimate","acs_occupation_female_self_employed_not_incorporated_estimate","acs_occupation_female_unpaid_family_worker_estimate","acs_occupation_universe_moe","acs_occupation_male_total_moe","acs_occupation_male_for_profit_worker_moe","acs_occupation_male_for_profit_worker_employee_moe","acs_occupation_male_for_profit_worker_self_employed_moe","acs_occupation_male_nonprofit_worker_moe","acs_occupation_male_local_govt_worker_moe","acs_occupation_male_state_govt_worker_moe","acs_occupation_male_fed_govt_worker_moe","acs_occupation_male_self_employed_not_incorporated_moe","acs_occupation_male_unpaid_family_worker_moe","acs_occupation_female_total_moe","acs_occupation_female_for_profit_worker_moe","acs_occupation_female_for_profit_worker_employee_moe","acs_occupation_female_for_profit_worker_self_employed_moe","acs_occupation_female_nonprofit_worker_moe","acs_occupation_female_local_govt_worker_moe","acs_occupation_female_state_govt_worker_moe","acs_occupation_female_fed_govt_worker_moe","acs_occupation_female_self_employed_not_incorporated_moe","acs_occupation_female_unpaid_family_worker_moe"
2015,"56",293949,159635,117644,109775,7869,5291,12038,9129,5102,10168,263,134314,76212,72446,3766,13468,18950,12485,4186,8524,489,1832,1213,1515,1487,578,477,732,711,546,690,90,1333,1382,1450,383,775,873,800,509,654,126
2016,"01",2042025,1069533,807817,765829,41988,46417,61443,43723,41376,66730,2027,972492,660421,644144,16277,90930,75689,74513,29571,39582,1786,7394,4545,4225,4096,1253,1431,1711,1426,1350,1792,314,5116,5001,4933,709,1982,2217,1915,1302,1421,314
2016,"02",353954,190862,121345,113804,7541,12818,14050,14133,15271,12878,367,163092,84771,80995,3776,22720,19028,17334,9303,9510,426,2158,1572,1626,1610,564,806,641,780,917,736,138,1413,1418,1518,441,972,780,654,660,556,133
2016,"04",2879372,1536163,1175730,1104752,70978,64671,88985,54514,47599,102382,2282,1343209,928101,894555,33546,119249,106006,84159,30963,72409,2322,8055,5306,5067,5134,1863,1809,2443,1639,1586,2119,370,5945,5788,5829,1242,2507,1969,1942,1267,1922,359
2016,"05",1266552,668503,500561,472737,27824,33028,30764,36963,14889,50989,1309,598049,389025,378599,10426,60139,39342,69918,11811,26825,989,6050,3091,3508,3546,1170,1481,1225,1152,877,1602,255,4061,3502,3493,654,1717,1615,2047,744,1101,184
2016,"06",17577142,9514304,7181570,6777558,404012,436562,529860,298050,206045,847985,14232,8062838,5361422,5179561,181861,728198,791476,430605,134857,600140,16140,19377,13193,13219,12845,3583,5119,6188,4425,3337,6641,842,12186,12777,12913,2673,6984,6551,5515,2574,4863,752
2016,"08",2692529,1443550,1107494,1019073,88421,73752,76037,45417,44525,94316,2009,1248979,832579,787511,45068,136334,106372,63599,30301,77309,2485,5342,3564,3931,4572,2158,1757,1812,1256,1534,2093,269,4367,4784,4927,1282,2666,2190,1504,1309,1674,319
2016,"09",1793688,921176,694815,650319,44496,57879,51559,33535,14620,67329,1439,872512,574877,558755,16122,115630,82664,41992,10388,45195,1766,5354,3221,3757,4029,1621,1686,1473,1442,808,1693,306,3635,3798,3870,819,2182,1829,1541,707,1457,332
2016,"10",438292,221288,170235,159528,10707,13371,6606,14580,5966,10209,321,217004,150379,146066,4313,23611,6438,24761,4661,6898,256,2927,1934,1969,2228,685,741,586,756,545,735,135,1859,2116,2036,327,986,549,996,440,595,96
2016,"11",348225,168188,92944,86675,6269,27165,7473,3215,29765,7453,173,180037,86763,83266,3497,39945,10621,3992,30642,7916,158,2235,1480,1700,1696,498,1183,599,378,1219,567,91,1605,1711,1636,432,1272,698,428,1225,663,95
