"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2014,"42",178800,198200,36300,104500,284900,6382300,6017900,364500,2.8,3.1,5.7,6.2,7.2,11.6
2014,"44",23400,23800,2200,8100,25200,553400,510800,42600,4.2,4.3,7.7,8.1,9,13.5
2014,"45",70100,58900,15300,42200,97900,2204800,2063300,141500,3.2,2.7,6.4,7.1,8.2,12.5
2014,"46",4500,7000,1100,3600,9800,450600,435000,15700,1,1.5,3.5,3.7,4.2,6.4
2014,"47",85300,103400,15700,45300,157100,3019200,2820700,198600,2.8,3.4,6.6,7.1,8,13.1
2014,"48",256000,292500,44400,142200,504900,13032200,12374700,657500,2,2.2,5,5.4,6.1,9.9
2014,"49",16700,25900,4200,13000,49800,1427500,1372000,55500,1.2,1.8,3.9,4.2,4.8,8.2
2014,"50",5000,7500,1100,3400,13100,347900,333400,14500,1.4,2.2,4.2,4.5,5.1,8.8
2014,"51",100600,100800,16500,60200,168200,4273100,4052600,220500,2.4,2.4,5.2,5.5,6.5,10.4
2014,"53",89300,110900,10300,47200,175500,3472800,3254900,217900,2.6,3.2,6.3,6.6,7.5,12.5
2014,"54",25300,26100,4800,12900,35400,793500,741400,52200,3.2,3.3,6.6,7.1,8.1,12.4
2014,"55",73500,99200,7300,37800,110900,3093900,2919900,174000,2.4,3.2,5.6,5.8,6.8,10.3
2014,"56",4300,6000,500,2200,7700,310000,296500,13500,1.4,1.9,4.4,4.5,5,7.5
2015,"01",58500,53000,15000,32700,79900,2157500,2025500,132000,2.7,2.5,6.1,6.8,7.5,11.2
2015,"02",8500,13800,1800,7400,13000,361900,337500,24400,2.3,3.8,6.7,7.2,8.6,12.1
2015,"04",70000,94400,13900,45200,173600,3154600,2964000,190600,2.2,3,6,6.5,7.4,12.8
2015,"05",24900,34800,5700,16000,43000,1336600,1266400,70100,1.9,2.6,5.2,5.6,6.4,9.5
2015,"06",521900,570500,74200,248100,1022400,18965800,17798000,1167800,2.8,3,6.2,6.5,7.4,12.7
2015,"08",36800,54500,3600,12400,101600,2800400,2691900,108500,1.3,1.9,3.9,4,4.3,7.9
2015,"09",53300,66700,9400,25800,77800,1896400,1789900,106500,2.8,3.5,5.6,6.1,6.9,10.9
2015,"10",11700,13900,1800,4500,17300,467600,444200,23400,2.5,3,5,5.4,5.9,9.6
2015,"11",16900,10900,1400,5100,10700,386200,359400,26800,4.4,2.8,6.9,7.3,8.1,10.9
2015,"12",266500,245500,55700,127400,463100,9539600,9023100,516500,2.8,2.6,5.4,6,6.7,11.5
2015,"13",148500,121600,24900,73100,187500,4746300,4471400,274900,3.1,2.6,5.8,6.3,7.2,11.1
2015,"15",10200,10900,2700,10900,30400,677700,652300,25400,1.5,1.6,3.7,4.1,5.3,9.7
2015,"16",11100,17600,1200,6700,28600,801200,767100,34100,1.4,2.2,4.3,4.4,5,8.6
2015,"17",195300,193400,30000,89400,247100,6519300,6133100,386200,3,3,5.9,6.4,7.2,10.9
2015,"18",55600,73900,10500,36400,105600,3272800,3116400,156300,1.7,2.3,4.8,5.1,5.8,9
2015,"19",16000,29800,1500,13200,46200,1700000,1639300,60700,0.9,1.8,3.6,3.7,4.3,7
