"year","state_fips","acs_employment_status_black_male_16_64_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_male_16_64_not_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_male_65_plus_not_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_female_16_64_not_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_female_65_plus_not_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_moe","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_male_16_64_not_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_employed_moe","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_male_65_plus_not_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_female_16_64_not_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_employed_moe","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_female_65_plus_not_in_labor_force_moe"
2014,"40",60968,1819,59149,51881,7268,33510,1579,1469,110,8354,64266,791,63475,56033,7442,27895,1737,1623,114,11958,1091,313,1169,1195,617,1034,206,187,64,269,967,201,980,1041,618,955,190,181,50,274
2014,"41",18535,15,18520,14942,3578,8695,497,417,80,2016,13676,19,13657,11451,2206,7256,457,326,131,2417,714,21,712,712,402,605,132,127,69,181,653,31,654,588,338,568,124,103,76,195
2014,"42",273924,372,273552,217944,55608,176693,9356,8571,785,44015,322723,64,322659,270629,52030,155676,10876,10072,804,75745,3082,144,3086,2774,1793,2803,536,517,167,613,2012,51,2014,2423,1704,2226,577,559,155,664
2014,"44",15841,135,15706,13607,2099,6278,381,325,56,1405,16747,54,16693,14415,2278,6246,223,220,3,2187,774,75,782,763,300,549,122,124,45,161,695,42,698,720,441,603,82,82,5,171
2014,"45",269912,4396,265516,214855,50661,135003,8722,7811,911,46258,323644,1852,321792,272757,49035,137775,9770,8908,862,73269,2213,524,2332,2403,1918,2306,516,510,207,539,2397,414,2449,2395,1731,2319,553,537,176,596
2014,"46",4138,174,3964,3666,298,1208,21,21,0,122,2176,77,2099,1757,342,850,4,4,0,64,360,90,356,374,131,229,34,34,22,95,268,54,268,272,127,213,5,5,22,65
2014,"47",230474,1782,228692,190133,38559,111559,6578,6001,577,29078,274613,666,273947,232844,41103,110805,7694,7119,575,48918,1939,362,1986,2108,1424,1790,446,432,142,542,2130,207,2138,2633,1545,2198,475,462,151,609
2014,"48",695160,11908,683252,584779,98473,316956,18801,17406,1395,80817,777559,3669,773890,683431,90459,304318,21800,20233,1567,125190,4113,814,4127,4119,2483,3737,738,767,239,850,4195,416,4235,3920,2781,3914,964,935,258,1177
2014,"49",8840,141,8699,7695,1004,2923,102,102,0,492,5383,34,5349,4531,818,2770,116,116,0,504,471,88,467,492,253,330,57,57,27,113,412,20,412,404,242,380,70,70,27,84
2014,"50",1921,0,1921,1675,246,750,22,22,0,78,1300,0,1300,1120,180,712,5,5,0,130,197,20,197,180,104,157,22,22,20,47,159,20,159,159,72,158,7,7,20,48
2014,"51",368184,15292,352892,304796,48096,147924,12729,11980,749,51166,414390,4036,410354,367101,43253,145182,13681,13118,563,81291,2660,1054,2678,2698,1641,2459,651,603,168,635,2746,443,2820,2723,1905,2498,674,681,134,725
2014,"53",72267,4177,68090,57809,10281,25799,1827,1643,184,6259,52162,1145,51017,44399,6618,24823,1176,1114,62,7867,1191,462,1158,1188,790,1175,285,272,94,315,1287,265,1286,1281,655,1277,241,236,43,344
2014,"54",12443,58,12385,10637,1748,11739,582,558,24,2091,10692,0,10692,9591,1101,7032,441,437,4,3654,605,41,607,542,292,609,177,178,38,190,536,27,536,518,221,445,106,106,6,210
2014,"55",67410,142,67268,51804,15464,46412,1615,1451,164,7594,81887,10,81877,67915,13962,37194,1834,1672,162,11579,1211,90,1195,1272,688,1024,208,204,93,230,955,17,958,1138,805,958,237,217,69,287
