"year","fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
2009,"13073",851,28,42,1.9
2009,"38015",550,24.6,13,1.4
2009,"18173",672,26.8,44,2.5
2009,"18037",568,22.4,67,2.3
2009,"40079",505,26.2,24,2.5
2009,"05019",570,37.3,34,4.6
2009,"48165",513,21.8,69,2.2
2009,"51089",511,28.6,17,3.3
2009,"21169",463,22.7,48,3.1
2009,"29033",486,20.7,36,4.1
2009,"05059",491,22.9,30,5.6
2009,"39011",617,23.3,32,1.3
2009,"28065",465,44.6,64,17.4
2009,"28123",548,34.5,41,9.5
2009,"19103",725,38,17,2.9
2009,"02020",989,27.9,14,0.8
2009,"17157",535,28.2,42,2.5
2009,"20127",468,20,31,5.3
2009,"53037",724,42.9,20,6.1
2009,"48401",548,24.4,40,2.4
2009,"48003",588,24.2,118,10.5
2009,"47059",514,26.4,22,1.8
2009,"51181",564,17.1,62,3.3
2009,"41057",658,32.9,46,4.5
2009,"05085",643,26.9,33,2
2009,"42123",506,26.1,24,2.4
2009,"17175",461,21.6,43,2.2
2009,"48425",513,26.6,99,19.1
2009,"36095",645,34.1,43,3.2
2009,"20123",459,22.2,47,4.9
2009,"18013",809,27.4,132,4.4
2009,"45077",641,33.5,24,1.9
2009,"48173",492,17.5,208,12.9
2009,"53041",700,28.5,34,1.6
2009,"18021",590,27.1,27,2
2009,"18083",525,30.3,21,2.6
2009,"29147",482,30.4,24,3.1
2009,"21223",570,29.5,119,3.8
2009,"29045",420,26.7,20,5.1
2009,"30051",421,26.8,15,6.8
2009,"55127",746,32.2,21,1.9
2009,"06087",1251,34.3,27,0.9
2009,"48303",718,34,16,1.5
2009,"37071",657,29.2,14,1
2009,"42109",586,24.6,26,1.5
2009,"47009",626,26.9,23,1.5
2009,"34021",1023,30.7,20,0.9
2009,"49043",969,26,71,2.6
2009,"42079",585,27.8,9,0.7
2009,"06071",1039,33.7,10,0.5
2009,"28139",522,28.8,25,1.9
2009,"08023",434,31.6,37,11
2009,"39115",489,27.5,33,5.2
2009,"08097",1277,27.9,105,2.3
2009,"13201",491,18.8,61,1.8
2009,"05119",710,29.9,8,0.8
2009,"53019",513,27.7,48,2.1
2009,"12107",571,33.5,21,3
2009,"21153",409,41.3,42,6.9
2009,"48273",629,30.6,33,4.2
2009,"40065",607,27.6,34,2.8
2009,"54043",446,30.6,31,4.2
2009,"13307",333,24.8,35,11.3
2009,"21031",461,28.6,78,4.9
2009,"48407",525,27.2,85,3.8
2009,"48177",512,26.7,20,1.1
2009,"13033",444,29.9,38,3.3
2009,"20091",849,25.4,9,0.7
2009,"22083",531,24.5,59,3.2
2009,"47047",629,24.6,54,2.6
2009,"20065",404,24.6,59,3.2
